rank	priority_score	official_issue	scroll_id	short_id	division	z	y	x	width	height	depth	local_uri	cropped_volume_uri	artifact_stem	ct_occupied_status	ct_chunk_coord	ink_max	ink_std	fiber_mean	output_dir	structure_tensor_output	lasagna_output_dir	evidence_output_dir
0	4.721823	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_90	18176	4128	4128	64	64	128	local_data/PHerc0125_Divisions/div_90/0	reports/lasagna_fiber_candidates/000_pred_18176_4128_4128_64x64/candidate_crop.zarr	pred_18176_4128_4128_64x64	true	142.32.32	0.21546	0.042671	0.213222	reports/lasagna_fiber_candidates/000_pred_18176_4128_4128_64x64	reports/lasagna_fiber_candidates/000_pred_18176_4128_4128_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/000_pred_18176_4128_4128_64x64/lasagna	reports/lasagna_fiber_candidates/000_pred_18176_4128_4128_64x64/evidence
1	4.22434	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_90	18176	4128	4000	64	64	128	local_data/PHerc0125_Divisions/div_90/0	reports/lasagna_fiber_candidates/001_pred_18176_4128_4000_64x64/candidate_crop.zarr	pred_18176_4128_4000_64x64	true	142.32.31	0.111979	0.021307	0.092626	reports/lasagna_fiber_candidates/001_pred_18176_4128_4000_64x64	reports/lasagna_fiber_candidates/001_pred_18176_4128_4000_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/001_pred_18176_4128_4000_64x64/lasagna	reports/lasagna_fiber_candidates/001_pred_18176_4128_4000_64x64/evidence
2	4.022478	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_90	18176	4000	4128	64	64	128	local_data/PHerc0125_Divisions/div_90/0	reports/lasagna_fiber_candidates/002_pred_18176_4000_4128_64x64/candidate_crop.zarr	pred_18176_4000_4128_64x64	true	142.31.32	0.070769	0.011176	0.045848	reports/lasagna_fiber_candidates/002_pred_18176_4000_4128_64x64	reports/lasagna_fiber_candidates/002_pred_18176_4000_4128_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/002_pred_18176_4000_4128_64x64/lasagna	reports/lasagna_fiber_candidates/002_pred_18176_4000_4128_64x64/evidence
3	3.990014	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_100	20224	4128	4128	64	64	128	local_data/PHerc0125_Divisions/div_100/0	reports/lasagna_fiber_candidates/003_pred_20224_4128_4128_64x64/candidate_crop.zarr	pred_20224_4128_4128_64x64	true	158.32.32	0.062838	0.009973	0.05492	reports/lasagna_fiber_candidates/003_pred_20224_4128_4128_64x64	reports/lasagna_fiber_candidates/003_pred_20224_4128_4128_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/003_pred_20224_4128_4128_64x64/lasagna	reports/lasagna_fiber_candidates/003_pred_20224_4128_4128_64x64/evidence
4	3.988049	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_90	18176	4000	4000	64	64	128	local_data/PHerc0125_Divisions/div_90/0	reports/lasagna_fiber_candidates/004_pred_18176_4000_4000_64x64/candidate_crop.zarr	pred_18176_4000_4000_64x64	true	142.31.31	0.062333	0.010585	0.049024	reports/lasagna_fiber_candidates/004_pred_18176_4000_4000_64x64	reports/lasagna_fiber_candidates/004_pred_18176_4000_4000_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/004_pred_18176_4000_4000_64x64/lasagna	reports/lasagna_fiber_candidates/004_pred_18176_4000_4000_64x64/evidence
5	3.985963	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_100	20224	4000	4128	64	64	128	local_data/PHerc0125_Divisions/div_100/0	reports/lasagna_fiber_candidates/005_pred_20224_4000_4128_64x64/candidate_crop.zarr	pred_20224_4000_4128_64x64	true	158.31.32	0.063173	0.008884	0.044243	reports/lasagna_fiber_candidates/005_pred_20224_4000_4128_64x64	reports/lasagna_fiber_candidates/005_pred_20224_4000_4128_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/005_pred_20224_4000_4128_64x64/lasagna	reports/lasagna_fiber_candidates/005_pred_20224_4000_4128_64x64/evidence
6	3.976056	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_90	18304	4128	4128	64	64	128	local_data/PHerc0125_Divisions/div_90/0	reports/lasagna_fiber_candidates/006_pred_18304_4128_4128_64x64/candidate_crop.zarr	pred_18304_4128_4128_64x64	true	143.32.32	0.060606	0.008955	0.044983	reports/lasagna_fiber_candidates/006_pred_18304_4128_4128_64x64	reports/lasagna_fiber_candidates/006_pred_18304_4128_4128_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/006_pred_18304_4128_4128_64x64/lasagna	reports/lasagna_fiber_candidates/006_pred_18304_4128_4128_64x64/evidence
7	3.963516	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_100	20224	4128	4000	64	64	128	local_data/PHerc0125_Divisions/div_100/0	reports/lasagna_fiber_candidates/007_pred_20224_4128_4000_64x64/candidate_crop.zarr	pred_20224_4128_4000_64x64	true	158.32.31	0.056164	0.010525	0.050189	reports/lasagna_fiber_candidates/007_pred_20224_4128_4000_64x64	reports/lasagna_fiber_candidates/007_pred_20224_4128_4000_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/007_pred_20224_4128_4000_64x64/lasagna	reports/lasagna_fiber_candidates/007_pred_20224_4128_4000_64x64/evidence
8	3.35	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_100	20224	4000	4000	64	64	128	local_data/PHerc0125_Divisions/div_100/0	reports/lasagna_fiber_candidates/008_pred_20224_4000_4000_64x64/candidate_crop.zarr	pred_20224_4000_4000_64x64	true	158.31.31	0.0	0.0	0.0	reports/lasagna_fiber_candidates/008_pred_20224_4000_4000_64x64	reports/lasagna_fiber_candidates/008_pred_20224_4000_4000_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/008_pred_20224_4000_4000_64x64/lasagna	reports/lasagna_fiber_candidates/008_pred_20224_4000_4000_64x64/evidence
9	3.35	https://github.com/ScrollPrize/villa/issues/191	Scroll 2	PHerc0125	div_100	20096	4128	4128	64	64	128	local_data/PHerc0125_Divisions/div_100/0	reports/lasagna_fiber_candidates/009_pred_20096_4128_4128_64x64/candidate_crop.zarr	pred_20096_4128_4128_64x64	true	157.32.32	0.0	0.0	0.0	reports/lasagna_fiber_candidates/009_pred_20096_4128_4128_64x64	reports/lasagna_fiber_candidates/009_pred_20096_4128_4128_64x64/structure_tensors.zarr	reports/lasagna_fiber_candidates/009_pred_20096_4128_4128_64x64/lasagna	reports/lasagna_fiber_candidates/009_pred_20096_4128_4128_64x64/evidence
