priority	scroll_key	scroll_id	short_id	division	z	y	x	width	height	patch_size	voxel_um	ml_window_mm	submittable_window	local_uri	notes	review_score	prediction_found	metadata_found	metadata_error	ink_mean	ink_std	ink_max	ink_hot_fraction	fiber_mean	artifact_stem	ct_occupied_status	ct_chunk_coord
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target	2.791621	true	true		0.106611	0.042671	0.215460	0.000000	0.213222	pred_18176_4128_4128_64x64	true	142.32.32
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target	2.582762	true	true		0.046313	0.021307	0.111979	0.000000	0.092626	pred_18176_4128_4000_64x64	true	142.32.31
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target	2.496840	true	true		0.022924	0.011176	0.070769	0.000000	0.045848	pred_18176_4000_4128_64x64	true	142.31.32
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target	2.478612	true	true		0.022122	0.008884	0.063173	0.000000	0.044243	pred_20224_4000_4128_64x64	true	158.31.32
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target	2.478286	true	true		0.024512	0.010585	0.062333	0.000000	0.049024	pred_18176_4000_4000_64x64	true	142.31.31
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target	2.476905	true	true		0.027460	0.009973	0.062838	0.000000	0.054920	pred_20224_4128_4128_64x64	true	158.32.32
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18304	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target	2.473398	true	true		0.022491	0.008955	0.060606	0.000000	0.044983	pred_18304_4128_4128_64x64	true	143.32.32
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target	2.465568	true	true		0.025094	0.010525	0.056164	0.000000	0.050189	pred_20224_4128_4000_64x64	true	158.32.31
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_20224_4000_4000_64x64	true	158.31.31
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20096	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_20096_4128_4128_64x64	true	157.32.32
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_29568_7712_7712_64x64	true	231.60.60
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_29568_7712_7840_64x64	true	231.60.61
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_29568_7840_7712_64x64	true	231.61.60
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_29568_7840_7840_64x64	true	231.61.61
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29696	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_29696_7712_7712_64x64	true	232.60.60
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32512	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_32512_7840_7840_64x64	true	254.61.61
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32512	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_32512_7840_7712_64x64	true	254.61.60
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32640	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_32640_7840_7840_64x64	true	255.61.61
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32512	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_32512_7712_7840_64x64	true	254.60.61
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32640	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target	2.350000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_32640_7840_7712_64x64	true	255.61.60
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	768	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_768_4128_4000_64x64	true	6.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	896	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_896_4128_4000_64x64	true	7.32.31
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	768	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target	1.650000	false	false		0.000000	0.000000	0.000000	0.000000	0.000000	pred_768_4000_4000_64x64	true	6.31.31
