priority	scroll_key	scroll_id	short_id	division	z	y	x	width	height	patch_size	voxel_um	ml_window_mm	submittable_window	local_uri	notes
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18176	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_90	18304	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20224	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll2	Scroll 2	PHerc0125	div_100	20096	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29568	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_90	29696	7712	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_90/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32512	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32512	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32640	7840	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32512	7712	7840	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target
1.6000	Scroll3	Scroll 3	PHerc0332	div_100	32640	7840	7712	64	64	64	7.91	0.5062	true	local_data/PHerc0332_Divisions/div_100/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	768	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	896	4128	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	768	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	896	4000	4000	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_0	768	4128	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_0/0	First Letters / First Title target
1.2500	Scroll2	Scroll 2	PHerc0125	div_10	2432	4000	4128	64	64	64	7.91	0.5062	true	local_data/PHerc0125_Divisions/div_10/0	First Letters / First Title target
